time,frequency,confidence
4.250,524.566,0.958376
4.260,525.101,0.955942
4.270,524.714,0.956864
4.280,525.018,0.957929
4.290,525.083,0.961788
4.300,525.055,0.960482
4.310,525.071,0.957141
4.320,524.957,0.959031
4.330,525.261,0.959109
4.340,525.111,0.959595
4.350,525.089,0.958280
4.360,525.200,0.938797
4.370,527.174,0.840928
4.380,529.145,0.704583
4.390,585.601,0.425369
4.400,585.762,0.806524
4.410,586.583,0.938339
4.420,587.418,0.970301
4.430,587.916,0.977446
4.440,587.768,0.973660
4.450,587.196,0.968717
4.460,587.031,0.942532
4.470,587.757,0.935624
4.480,587.478,0.911849
4.490,587.359,0.891077
4.500,586.927,0.889931
4.510,586.784,0.925032
4.520,586.569,0.932237
4.530,585.753,0.911377
4.540,585.827,0.916885
4.550,586.697,0.941959
4.560,586.632,0.954198
4.570,586.910,0.957026
4.580,587.539,0.960016
4.590,587.756,0.964448
4.600,587.988,0.963929
4.610,587.622,0.971328
4.620,587.662,0.973451
4.630,587.751,0.968127
4.640,588.011,0.973805
4.650,587.993,0.973445
4.660,587.991,0.977790
4.670,587.994,0.981256
4.680,588.144,0.980348
4.690,588.316,0.981164
4.700,588.116,0.980215
4.710,588.034,0.979072
4.720,588.307,0.981408
4.730,588.348,0.983387
4.740,588.416,0.982138
4.750,588.424,0.981281
4.760,588.219,0.978956
4.770,588.374,0.979372
4.780,588.432,0.980995
4.790,588.340,0.981497
4.800,588.412,0.981810
4.810,588.542,0.981445
4.820,588.533,0.981428
4.830,588.411,0.983350
4.840,588.190,0.981355
4.850,588.354,0.980649
4.860,588.465,0.981676
4.870,588.481,0.980225
4.880,588.330,0.982715
4.890,588.473,0.984299
4.900,588.614,0.982968
4.910,588.345,0.964588
4.920,588.396,0.876146
4.930,590.398,0.732236
4.940,609.877,0.225953
4.950,625.604,0.427156
4.960,624.437,0.711563
4.970,625.460,0.813896
4.980,625.556,0.899661
4.990,623.493,0.933947
5.000,624.404,0.960641
5.010,623.719,0.961932
5.020,623.819,0.968584
5.030,623.858,0.967811
5.040,623.046,0.955297
5.050,623.342,0.962155
5.060,623.858,0.972046
5.070,622.796,0.957828
5.080,623.060,0.959376
5.090,623.187,0.960746
5.100,622.980,0.956166
5.110,623.418,0.966638
5.120,623.488,0.968888
5.130,623.230,0.958815
5.140,623.596,0.966801
5.150,623.670,0.964738
5.160,623.168,0.958538
5.170,623.649,0.967584
5.180,623.323,0.960512
5.190,623.185,0.961911
5.200,623.864,0.971295
5.210,623.446,0.965965
5.220,623.267,0.963607
5.230,623.656,0.970363
5.240,623.175,0.963901
5.250,623.424,0.963002
5.260,623.787,0.967359
5.270,623.435,0.965187
5.280,623.567,0.967381
5.290,623.770,0.968358
5.300,623.369,0.963986
5.310,623.554,0.964341
5.320,623.697,0.962582
5.330,623.321,0.960317
5.340,623.756,0.969164
5.350,623.638,0.968775
5.360,623.215,0.965501
5.370,623.511,0.968930
5.380,623.327,0.965014
5.390,623.039,0.962653
5.400,623.596,0.961986
5.410,623.447,0.957668
5.420,623.520,0.963293
5.430,623.464,0.967172
5.440,623.511,0.969135
5.450,623.449,0.944696
5.460,623.815,0.909427
5.470,312.446,0.646425
5.480,617.474,0.302597
5.490,589.725,0.455702
5.500,590.372,0.657422
5.510,588.116,0.858083
5.520,587.646,0.948204
5.530,588.985,0.976361
5.540,589.131,0.973721
5.550,588.705,0.980322
5.560,588.402,0.973711
5.570,588.527,0.972499
5.580,588.920,0.964769
5.590,590.100,0.954943
5.600,590.094,0.945017
5.610,589.942,0.946981
5.620,589.067,0.970001
5.630,588.001,0.979933
5.640,587.758,0.979170
5.650,587.957,0.978838
5.660,588.481,0.977767
5.670,588.621,0.979700
5.680,588.943,0.979223
5.690,589.399,0.978249
5.700,589.526,0.978210
5.710,589.185,0.978616
5.720,588.576,0.980210
5.730,588.290,0.979663
5.740,588.569,0.979989
5.750,588.639,0.980595
5.760,588.596,0.980924
5.770,588.477,0.982394
5.780,588.479,0.981599
5.790,588.469,0.981835
5.800,588.565,0.981729
5.810,588.654,0.980012
5.820,588.670,0.977589
5.830,588.520,0.980421
5.840,588.606,0.980682
5.850,588.485,0.983883
5.860,588.455,0.981728
5.870,588.462,0.980767
5.880,588.720,0.981270
5.890,588.473,0.979774
5.900,588.201,0.978922
5.910,588.333,0.980154
5.920,588.478,0.981535
5.930,588.297,0.981395
5.940,588.220,0.981325
5.950,588.259,0.980022
5.960,588.355,0.979806
5.970,588.393,0.982803
5.980,588.552,0.983294
5.990,588.716,0.981063
6.000,588.937,0.981762
6.010,589.042,0.978348
6.020,588.522,0.876660
6.030,538.759,0.171369
6.040,525.995,0.435319
6.050,524.668,0.635236
6.060,524.234,0.772852
6.070,524.452,0.823786
6.080,524.247,0.889544
6.090,524.320,0.933378
6.100,524.577,0.946506
6.110,524.869,0.946289
6.120,525.072,0.950491
6.130,524.812,0.952393
6.140,524.755,0.956833
6.150,524.915,0.955519
6.160,525.113,0.958062
6.170,525.019,0.955231
6.180,525.077,0.957203
6.190,525.082,0.957943
6.200,525.041,0.955425
6.210,524.837,0.956663
6.220,525.367,0.959009
6.230,525.035,0.959042
6.240,525.252,0.958375
6.250,525.042,0.956636
6.260,525.204,0.957363
6.270,525.063,0.959529
6.280,525.503,0.957599
6.290,525.045,0.955897
6.300,525.276,0.958799
6.310,525.271,0.961393
6.320,525.281,0.957947
6.330,525.064,0.957369
6.340,525.211,0.958781
6.350,525.014,0.960918
6.360,525.383,0.960429
6.370,525.082,0.956917
6.380,525.056,0.960940
6.390,525.024,0.960536
6.400,525.233,0.957149
6.410,525.166,0.955701
6.420,525.298,0.957204
6.430,525.100,0.959360
6.440,525.309,0.960505
6.450,525.059,0.957529
6.460,525.054,0.960706
6.470,525.205,0.961867
6.480,525.229,0.958812
6.490,525.138,0.956395
6.500,525.135,0.954422
6.510,525.286,0.957195
6.520,525.141,0.959601
6.530,525.017,0.958716
6.540,524.909,0.959468
6.550,525.116,0.960037
6.560,525.031,0.958870
6.570,525.112,0.959516
6.580,524.502,0.938395
6.590,519.611,0.531710
6.600,468.923,0.373625
6.610,467.206,0.771827
6.620,466.527,0.910404
6.630,467.418,0.960160
6.640,467.712,0.976069
6.650,467.945,0.979972
6.660,467.960,0.980393
6.670,467.932,0.979192
6.680,467.848,0.979541
6.690,467.802,0.980920
6.700,467.662,0.980527
6.710,467.724,0.978912
6.720,467.641,0.980915
6.730,467.656,0.979364
6.740,467.616,0.979277
6.750,467.612,0.980078
6.760,467.499,0.979034
6.770,467.597,0.979777
6.780,467.604,0.980482
6.790,467.543,0.979061
6.800,467.589,0.979226
6.810,467.646,0.980263
6.820,467.543,0.979018
6.830,467.588,0.979436
6.840,467.629,0.980626
6.850,467.503,0.978982
6.860,467.580,0.979413
6.870,467.611,0.980064
6.880,467.550,0.978980
6.890,467.624,0.979688
6.900,467.622,0.979962
6.910,467.635,0.979073
6.920,467.615,0.979679
6.930,467.619,0.980026
6.940,467.629,0.979146
6.950,467.623,0.980046
6.960,467.575,0.979828
6.970,467.570,0.979306
6.980,467.670,0.980293
6.990,467.558,0.979472
7.000,467.558,0.979576
7.010,467.687,0.980430
7.020,467.523,0.979328
7.030,467.555,0.979987
7.040,467.703,0.980606
7.050,467.548,0.979243
7.060,467.597,0.979870
7.070,467.739,0.980698
7.080,467.530,0.979111
7.090,467.575,0.980078
7.100,467.744,0.980536
7.110,467.549,0.978517
7.120,467.566,0.980188
7.130,467.800,0.980182
7.140,467.610,0.979925
7.150,467.796,0.960315
7.160,467.449,0.805867
7.170,234.126,0.607022
7.180,234.479,0.325162
7.190,466.350,0.259589
7.200,465.953,0.521553
7.210,466.042,0.700277
7.220,466.690,0.765489
7.230,466.569,0.778323
7.240,467.151,0.846724
7.250,466.846,0.840025
7.260,467.324,0.878129
7.270,466.798,0.850089
7.280,467.124,0.828016
7.290,466.769,0.816590
7.300,466.906,0.775039
7.310,466.562,0.723187
7.320,466.742,0.654790
7.330,465.610,0.616051
7.340,466.058,0.467827
7.350,464.731,0.457418
7.360,418.225,0.577798
7.370,419.510,0.626649
7.380,418.144,0.658964
7.390,419.385,0.640601
7.400,417.694,0.751744
7.410,418.570,0.729210
7.420,417.544,0.791430
7.430,418.465,0.785664
7.440,417.363,0.843658
7.450,417.801,0.818261
7.460,417.190,0.875925
7.470,417.596,0.844595
7.480,417.037,0.888843
7.490,417.566,0.882081
7.500,416.898,0.913581
7.510,417.039,0.896850
7.520,416.474,0.918804
7.530,416.789,0.913296
7.540,416.373,0.930790
7.550,416.773,0.934227
7.560,416.476,0.942649
7.570,416.328,0.935125
7.580,415.914,0.942054
7.590,415.980,0.947426
7.600,416.164,0.948645
7.610,416.216,0.951495
7.620,416.075,0.956159
7.630,415.963,0.953622
7.640,415.881,0.953189
7.650,415.772,0.956545
7.660,415.995,0.954384
7.670,415.902,0.953621
7.680,415.857,0.957058
7.690,415.868,0.957450
7.700,414.235,0.903118
7.710,412.154,0.754641
7.720,400.292,0.596063
7.730,395.251,0.824399
7.740,396.070,0.868216
7.750,397.064,0.920351
7.760,396.935,0.920327
7.770,394.845,0.906673
7.780,394.384,0.927567
7.790,394.371,0.953023
7.800,394.713,0.951870
7.810,394.256,0.959651
7.820,393.518,0.962865
7.830,393.670,0.963861
7.840,394.303,0.964286
7.850,394.690,0.954156
7.860,394.005,0.959680
7.870,393.703,0.964900
7.880,394.080,0.966934
7.890,393.888,0.967457
7.900,393.450,0.967190
7.910,392.944,0.968893
7.920,392.982,0.970810
7.930,393.451,0.968501
7.940,393.303,0.966788
7.950,393.122,0.966835
7.960,393.189,0.970283
7.970,393.247,0.970273
7.980,393.229,0.970148
7.990,393.103,0.969674
8.000,392.907,0.972275
8.010,393.207,0.973118
8.020,393.263,0.971088
8.030,392.976,0.971076
8.040,393.002,0.973106
8.050,393.006,0.974513
8.060,393.139,0.974747
8.070,393.356,0.972763
8.080,392.964,0.973377
8.090,393.063,0.973042
8.100,393.148,0.971462
8.110,393.057,0.971498
8.120,393.171,0.969746
8.130,393.148,0.970876
8.140,393.096,0.973098
8.150,393.220,0.970855
8.160,393.025,0.970234
8.170,392.846,0.971437
8.180,393.002,0.972317
8.190,392.906,0.973757
8.200,393.036,0.974575
8.210,393.200,0.974012
8.220,392.975,0.974866
8.230,393.094,0.973493
8.240,393.083,0.972488
8.250,392.696,0.964732
8.260,392.094,0.909294
8.270,392.345,0.852633
8.280,392.351,0.647086
8.290,393.274,0.511480
8.300,352.408,0.684805
8.310,352.095,0.640692
8.320,352.063,0.695451
8.330,352.903,0.735776
8.340,351.052,0.821366
8.350,351.365,0.839389
8.360,350.692,0.918898
8.370,350.935,0.930202
8.380,351.105,0.933985
8.390,351.331,0.943798
8.400,351.197,0.939004
8.410,350.859,0.950006
8.420,350.804,0.955188
8.430,350.884,0.961579
8.440,350.640,0.969054
8.450,350.599,0.970566
8.460,350.413,0.976360
8.470,350.152,0.976067
8.480,350.447,0.977146
8.490,350.101,0.977452
8.500,350.227,0.979691
8.510,350.229,0.978522
8.520,350.023,0.980462
8.530,350.099,0.979006
8.540,349.914,0.981312
8.550,350.243,0.980790
8.560,349.929,0.982182
8.570,350.148,0.981834
8.580,349.968,0.982177
8.590,350.041,0.980999
8.600,350.019,0.981937
8.610,349.894,0.980407
8.620,350.005,0.982298
8.630,349.844,0.979913
8.640,350.045,0.982759
8.650,349.930,0.981050
8.660,349.876,0.982321
8.670,349.892,0.981022
8.680,349.878,0.982245
8.690,350.024,0.981610
8.700,349.893,0.981980
8.710,349.936,0.981629
8.720,349.886,0.981959
8.730,349.921,0.980616
8.740,349.968,0.982059
8.750,349.899,0.980471
8.760,349.958,0.982220
8.770,349.895,0.980354
8.780,349.901,0.981972
8.790,349.897,0.980320
8.800,349.931,0.982285
8.810,349.886,0.980660
8.820,349.883,0.981088
8.830,349.997,0.980260
8.840,349.960,0.950526
8.850,347.141,0.651497
8.860,349.634,0.406074
8.870,308.302,0.433264
8.880,310.203,0.685713
8.890,311.898,0.838535
8.900,314.469,0.856478
8.910,315.050,0.912384
8.920,313.331,0.932683
8.930,312.863,0.936201
8.940,312.462,0.938016
8.950,311.550,0.928085
8.960,311.764,0.929164
8.970,311.904,0.928950
8.980,312.185,0.910125
8.990,311.361,0.855008
9.000,311.485,0.813680
9.010,311.642,0.778711
9.020,311.581,0.841187
9.030,311.978,0.886690
9.040,311.978,0.923942
9.050,312.461,0.934174
9.060,312.270,0.945280
9.070,312.054,0.955103
9.080,312.342,0.960730
9.090,311.967,0.957595
9.100,312.224,0.964101
9.110,312.169,0.964694
9.120,312.128,0.965443
9.130,312.326,0.963790
9.140,311.863,0.965055
9.150,311.793,0.961101
9.160,312.176,0.963412
9.170,311.710,0.964700
9.180,311.776,0.961526
9.190,311.625,0.962690
9.200,311.986,0.967074
9.210,311.889,0.961106
9.220,311.438,0.951920
9.230,311.476,0.946643
9.240,311.762,0.948220
9.250,311.486,0.935747
9.260,311.352,0.935933
9.270,311.591,0.950654
9.280,311.609,0.952719
9.290,311.345,0.951175
9.300,311.528,0.957479
9.310,311.686,0.957969
9.320,311.768,0.962843
9.330,311.713,0.964534
9.340,311.512,0.965126
9.350,311.691,0.966998
9.360,311.681,0.966712
9.370,311.487,0.968904
9.380,311.541,0.968145
9.390,311.696,0.967505
9.400,311.669,0.969959
9.410,312.242,0.926284
9.420,313.064,0.725697
9.430,392.996,0.499999
9.440,394.022,0.795109
9.450,394.925,0.829099
9.460,395.820,0.829211
9.470,395.982,0.838786
9.480,394.020,0.888952
9.490,394.122,0.873245
9.500,393.495,0.869336
9.510,393.454,0.884598
9.520,393.429,0.893161
9.530,393.363,0.898532
9.540,393.297,0.923557
9.550,393.269,0.930308
9.560,393.337,0.927593
9.570,393.448,0.927035
9.580,393.337,0.930752
9.590,393.308,0.930964
9.600,393.153,0.936995
9.610,393.283,0.938188
9.620,392.932,0.943392
9.630,393.014,0.941019
9.640,393.291,0.938218
9.650,393.030,0.945236
9.660,393.067,0.947354
9.670,393.131,0.948424
9.680,392.850,0.954169
9.690,393.117,0.954396
9.700,393.059,0.955289
9.710,392.877,0.960242
9.720,393.028,0.963899
9.730,392.865,0.965886
9.740,393.014,0.967326
9.750,393.215,0.969073
9.760,392.972,0.969658
9.770,393.184,0.967724
9.780,393.139,0.968639
9.790,392.928,0.969134
9.800,393.136,0.968573
9.810,393.100,0.969699
9.820,393.159,0.971098
9.830,393.318,0.969432
9.840,393.032,0.968984
9.850,393.007,0.970151
9.860,392.974,0.970590
9.870,392.777,0.971230
9.880,393.073,0.973366
9.890,393.143,0.972295
9.900,392.948,0.973051
9.910,393.109,0.972334
9.920,393.115,0.972374
9.930,392.943,0.971806
9.940,393.242,0.971480
9.950,393.065,0.973410
9.960,393.093,0.973370
9.970,393.174,0.974410
9.980,392.770,0.967719
9.990,392.449,0.938979
10.000,392.049,0.814725
