time,frequency,confidence
5.730,294.981,0.952772
5.740,295.206,0.960542
5.750,294.848,0.966644
5.760,294.820,0.962146
5.770,295.129,0.959331
5.780,294.808,0.964512
5.790,294.952,0.970387
5.800,294.835,0.972121
5.810,294.511,0.977284
5.820,294.964,0.978698
5.830,294.796,0.975854
5.840,294.607,0.977110
5.850,294.904,0.978257
5.860,294.786,0.978307
5.870,294.645,0.978346
5.880,295.006,0.977726
5.890,294.678,0.977485
5.900,294.722,0.979718
5.910,294.807,0.980639
5.920,294.560,0.978363
5.930,294.826,0.980185
5.940,294.797,0.981582
5.950,294.563,0.978639
5.960,294.738,0.979986
5.970,294.591,0.981170
5.980,294.573,0.980289
5.990,294.755,0.981696
6.000,294.672,0.981252
6.010,294.590,0.980277
6.020,294.732,0.981173
6.030,294.665,0.978783
6.040,294.649,0.980236
6.050,294.737,0.980624
6.060,294.595,0.980121
6.070,294.637,0.980265
6.080,294.649,0.981094
6.090,294.547,0.980617
6.100,294.768,0.979649
6.110,294.512,0.971921
6.120,292.474,0.819037
6.130,293.320,0.544770
6.140,261.658,0.636514
6.150,260.841,0.814451
6.160,260.962,0.849236
6.170,262.974,0.927888
6.180,263.147,0.922382
6.190,262.791,0.935743
6.200,263.099,0.946076
6.210,262.686,0.934491
6.220,262.252,0.944703
6.230,262.260,0.961628
6.240,262.213,0.951410
6.250,261.661,0.943354
6.260,261.910,0.959932
6.270,262.207,0.959222
6.280,261.876,0.956991
6.290,262.048,0.961113
6.300,262.141,0.960747
6.310,261.965,0.961514
6.320,261.872,0.962902
6.330,262.072,0.960659
6.340,261.868,0.954933
6.350,261.839,0.960521
6.360,262.210,0.965818
6.370,261.977,0.960065
6.380,261.843,0.960551
6.390,262.125,0.964391
6.400,261.969,0.960939
6.410,261.930,0.961950
6.420,262.084,0.961038
6.430,262.017,0.960788
6.440,261.967,0.964439
6.450,262.054,0.963430
6.460,261.889,0.959246
6.470,261.955,0.962704
6.480,261.986,0.961759
6.490,261.989,0.962690
6.500,261.991,0.959225
6.510,261.997,0.961113
