time,frequency,confidence
4.940,470.135,0.778539
4.950,469.922,0.848139
4.960,469.862,0.887032
4.970,469.196,0.920938
4.980,469.123,0.840986
4.990,468.487,0.592513
5.000,345.451,0.195173
5.010,349.683,0.512019
5.020,350.050,0.507668
5.030,117.205,0.455611
5.040,117.116,0.526798
5.050,116.803,0.550421
5.060,349.850,0.671400
5.070,349.455,0.680070
5.080,349.423,0.673592
5.090,349.404,0.744032
5.100,349.519,0.763056
5.110,349.663,0.702008
5.120,349.616,0.783937
5.130,349.696,0.827119
5.140,349.697,0.840750
5.150,349.735,0.852794
5.160,349.551,0.847328
5.170,349.611,0.875628
5.180,349.575,0.879858
5.190,349.667,0.907862
5.200,349.644,0.894405
5.210,349.688,0.912045
5.220,349.637,0.914945
5.230,349.688,0.929572
5.240,349.960,0.928540
5.250,349.634,0.893185
5.260,349.410,0.842490
5.270,349.360,0.712505
5.280,349.063,0.574563
5.290,561.528,0.428164
5.300,560.743,0.501262
5.310,557.943,0.571025
5.320,558.019,0.628137
5.330,557.910,0.634516
5.340,558.896,0.668632
5.350,558.603,0.627214
5.360,559.132,0.690745
5.370,558.358,0.695448
5.380,559.013,0.699892
5.390,558.420,0.761005
5.400,559.177,0.740187
5.410,558.761,0.794762
5.420,558.647,0.775540
5.430,558.446,0.802399
5.440,558.194,0.797920
5.450,558.174,0.823303
5.460,558.170,0.812463
5.470,558.363,0.826038
5.480,558.395,0.812707
5.490,557.996,0.834135
5.500,558.179,0.820703
5.510,557.801,0.829701
5.520,557.603,0.827415
5.530,557.461,0.785601
5.540,557.630,0.613881
5.550,558.295,0.234099
5.560,471.603,0.242660
5.570,470.437,0.524400
5.580,469.781,0.537835
5.590,470.192,0.606338
5.600,469.949,0.587629
5.610,470.134,0.649442
5.620,470.388,0.660394
5.630,469.477,0.614234
5.640,469.246,0.531545
5.650,469.278,0.599447
5.660,469.113,0.665756
5.670,469.433,0.727401
5.680,469.712,0.764313
5.690,469.809,0.788944
5.700,469.610,0.774670
5.710,469.984,0.778775
5.720,469.347,0.829324
5.730,469.308,0.881455
5.740,469.467,0.900777
5.750,469.070,0.905888
5.760,469.393,0.836093
5.770,468.170,0.511862
5.780,234.798,0.399027
5.790,235.016,0.376627
5.800,235.108,0.378992
5.810,117.346,0.501939
5.820,117.176,0.472323
5.830,350.198,0.537661
5.840,350.005,0.457037
5.850,349.614,0.530474
5.860,349.320,0.383720
5.870,349.537,0.468909
5.880,349.682,0.655521
5.890,349.501,0.638959
5.900,349.665,0.634199
5.910,349.534,0.648770
5.920,349.393,0.714292
5.930,349.741,0.753138
5.940,349.624,0.806256
5.950,349.619,0.791862
5.960,349.507,0.795580
5.970,349.690,0.818512
5.980,349.577,0.845796
5.990,349.889,0.871797
6.000,349.688,0.883608
6.010,349.704,0.886780
6.020,349.766,0.866734
6.030,349.961,0.833880
6.040,349.439,0.712119
6.050,349.510,0.534483
6.060,563.472,0.251114
6.070,561.024,0.413143
6.080,559.424,0.478552
6.090,558.103,0.577746
6.100,557.637,0.639809
6.110,558.036,0.691314
6.120,558.746,0.645014
6.130,558.616,0.699161
6.140,558.715,0.693662
6.150,558.431,0.735862
6.160,558.353,0.735659
6.170,558.437,0.786607
6.180,558.588,0.797408
6.190,558.384,0.798632
6.200,558.434,0.819847
6.210,558.284,0.809352
6.220,557.852,0.839770
6.230,557.736,0.826599
6.240,558.069,0.819545
6.250,558.064,0.795311
6.260,557.776,0.721208
6.270,557.809,0.559023
6.280,558.578,0.165748
6.290,470.553,0.332257
6.300,470.209,0.529619
6.310,470.714,0.609688
6.320,470.174,0.625876
6.330,470.122,0.624671
6.340,470.157,0.601242
6.350,469.383,0.633148
6.360,468.750,0.621711
6.370,468.826,0.763677
6.380,468.927,0.788946
6.390,468.696,0.799237
6.400,469.173,0.782069
6.410,468.770,0.807961
6.420,468.871,0.877949
6.430,468.979,0.892437
6.440,468.937,0.868213
6.450,468.743,0.878062
6.460,468.749,0.898175
6.470,468.941,0.907548
6.480,469.470,0.897920
